abbr;meaning
PKV;Private Krankenversicherung
LH;Lufthansa
LHG;Lufthansa Group
B2B;Business-to-Business
SHC;Lufthansa Service Help Center
AD;Active Directory
LAC;Lufthansa Aviation Center
LAT;Lufthansa Aviation Training
LAG;Lufthansa Airport Garden
LHT;Lufthansa Technik AG
LTL;Lufthansa Technik Logistik GmbH
LTLS;Lufthansa Technik Logistik Services GmbH
LTT;Lufthansa Technical Training GmbH
LEOS;Lufthansa Engineering and Operational Services GmbH
LTMI;Lufthansa Technik Maintenance International GmbH
LBAS;Lufthansa Bombardier Aviation Services GmbH
GAV;Gesamtarbeitsvertrag
LHIND;Lufthansa Industry Solutions GmbH & Co. KG
RFI;Request for Information
CSP;Content Service Provider
CMS;Content-Management-System
LDAP;Lightweight Directory Access Protocol
