abbr;meaning
LH;Lufthansa
LHG;Lufthansa Group
SHC;Lufthansa Service Help Center
LAC;Lufthansa Aviation Center
LAT;Lufthansa Aviation Training
LAG;Lufthansa Airport Garden
LHT;Lufthansa Technik AG
LTL;Lufthansa Technik Logistik GmbH
LTLS;Lufthansa Technik Logistik Services GmbH
LTT;Lufthansa Technical Training GmbH
LEOS;Lufthansa Engineering and Operational Services GmbH
LTMI;Lufthansa Technik Maintenance International GmbH
LBAS;Lufthansa Bombardier Aviation Services GmbH
LHIND;Lufthansa Industry Solutions GmbH & Co. KG
